propnum,day,oil,gas,water
f899139df5e1059396431415e770c6dd,2020-06-22,0,2210.9293613973327,0
f899139df5e1059396431415e770c6dd,2020-06-23,0,2210.926310452411,0
f899139df5e1059396431415e770c6dd,2020-06-24,0,2210.923186558497,0
f899139df5e1059396431415e770c6dd,2020-06-25,0,2210.9199885314283,0
f899139df5e1059396431415e770c6dd,2020-06-26,0,2210.916715176788,0
f899139df5e1059396431415e770c6dd,2020-06-27,0,2210.913365289892,0
f899139df5e1059396431415e770c6dd,2020-06-28,0,2210.90993765578,0
f899139df5e1059396431415e770c6dd,2020-06-29,0,2210.9064310491995,0
f899139df5e1059396431415e770c6dd,2020-06-30,0,2210.902844234599,0
f899139df5e1059396431415e770c6dd,2020-07-01,0,2210.8991759661144,0
f899139df5e1059396431415e770c6dd,2020-07-02,0,2210.895424987558,0
f899139df5e1059396431415e770c6dd,2020-07-03,0,2210.8915900324073,0
f899139df5e1059396431415e770c6dd,2020-07-04,0,2210.887669823794,0
f899139df5e1059396431415e770c6dd,2020-07-05,0,2210.883663074495,0
f899139df5e1059396431415e770c6dd,2020-07-06,0,2210.879568486917,0
f899139df5e1059396431415e770c6dd,2020-07-07,0,2210.8753847530925,0
f899139df5e1059396431415e770c6dd,2020-07-08,0,2210.8711105546618,0
f899139df5e1059396431415e770c6dd,2020-07-09,0,2210.8667445628685,0
f899139df5e1059396431415e770c6dd,2020-07-10,0,2210.8622854385453,0
f899139df5e1059396431415e770c6dd,2020-07-11,0,2210.8577318321054,0
f899139df5e1059396431415e770c6dd,2020-07-12,0,2210.8530823835326,0
f899139df5e1059396431415e770c6dd,2020-07-13,0,2210.848335722369,0
f899139df5e1059396431415e770c6dd,2020-07-14,0,2210.843490467708,0
f899139df5e1059396431415e770c6dd,2020-07-15,0,2210.838545228181,0
f899139df5e1059396431415e770c6dd,2020-07-16,0,2210.833498601951,0
f899139df5e1059396431415e770c6dd,2020-07-17,0,2210.8283491766997,0
f899139df5e1059396431415e770c6dd,2020-07-18,0,2210.82309552962,0
f899139df5e1059396431415e770c6dd,2020-07-19,0,2210.817736227405,0
f899139df5e1059396431415e770c6dd,2020-07-20,0,2210.81226982624,0
f899139df5e1059396431415e770c6dd,2020-07-21,0,2210.806694871792,0
f899139df5e1059396431415e770c6dd,2020-07-22,0,2210.801009899199,0
f899139df5e1059396431415e770c6dd,2020-07-23,0,2210.795213433065,0
f899139df5e1059396431415e770c6dd,2020-07-24,0,2210.7893039874466,0
f899139df5e1059396431415e770c6dd,2020-07-25,0,2210.7832800658457,0
f899139df5e1059396431415e770c6dd,2020-07-26,0,2210.7771401612017,0
f899139df5e1059396431415e770c6dd,2020-07-27,0,2210.77088275588,0
f899139df5e1059396431415e770c6dd,2020-07-28,0,2210.7645063216655,0
f899139df5e1059396431415e770c6dd,2020-07-29,0,2210.7580093197525,0
f899139df5e1059396431415e770c6dd,2020-07-30,0,2210.7513902007377,0
f899139df5e1059396431415e770c6dd,2020-07-31,0,2210.7446474046096,0
f899139df5e1059396431415e770c6dd,2020-08-01,0,2210.7377793607425,0
f899139df5e1059396431415e770c6dd,2020-08-02,0,2210.730784487886,0
f899139df5e1059396431415e770c6dd,2020-08-03,0,2210.7236611941585,0
f899139df5e1059396431415e770c6dd,2020-08-04,0,2210.7164078770375,0
f899139df5e1059396431415e770c6dd,2020-08-05,0,2210.7090229233518,0
f899139df5e1059396431415e770c6dd,2020-08-06,0,2210.7015047092773,0
f899139df5e1059396431415e770c6dd,2020-08-07,0,2210.6938516003224,0
f899139df5e1059396431415e770c6dd,2020-08-08,0,2210.686061951325,0
f899139df5e1059396431415e770c6dd,2020-08-09,0,2210.678134106445,0
f899139df5e1059396431415e770c6dd,2020-08-10,0,2210.670066399154,0
f899139df5e1059396431415e770c6dd,2020-08-11,0,2210.66185715223,0
f899139df5e1059396431415e770c6dd,2020-08-12,0,2210.653504677749,0
f899139df5e1059396431415e770c6dd,2020-08-13,0,2210.6450072770767,0
f899139df5e1059396431415e770c6dd,2020-08-14,0,2210.636363240865,0
f899139df5e1059396431415e770c6dd,2020-08-15,0,2210.6275708490407,0
f899139df5e1059396431415e770c6dd,2020-08-16,0,2210.6186283708007,0
f899139df5e1059396431415e770c6dd,2020-08-17,0,2210.6095340646043,0
f899139df5e1059396431415e770c6dd,2020-08-18,0,2210.6002861781676,0
f899139df5e1059396431415e770c6dd,2020-08-19,0,2210.5908829484542,0
f899139df5e1059396431415e770c6dd,2020-08-20,0,2210.5813226016717,0
f899139df5e1059396431415e770c6dd,2020-08-21,0,2210.571603353263,0
f899139df5e1059396431415e770c6dd,2020-08-22,0,2210.561723407901,0
f899139df5e1059396431415e770c6dd,2020-08-23,0,2210.5516809594797,0
f899139df5e1059396431415e770c6dd,2020-08-24,0,2210.541474191113,0
f899139df5e1059396431415e770c6dd,2020-08-25,0,2210.531101275123,0
f899139df5e1059396431415e770c6dd,2020-08-26,0,2210.520560373037,0
f899139df5e1059396431415e770c6dd,2020-08-27,0,2210.5098496355818,0
f899139df5e1059396431415e770c6dd,2020-08-28,0,2210.4989672026754,0
f899139df5e1059396431415e770c6dd,2020-08-29,0,2210.487911203424,0
f899139df5e1059396431415e770c6dd,2020-08-30,0,2210.4766797561138,0
f899139df5e1059396431415e770c6dd,2020-08-31,0,2210.465270968207,0
f899139df5e1059396431415e770c6dd,2020-09-01,0,2210.4536829363365,0
f899139df5e1059396431415e770c6dd,2020-09-02,0,2210.441913746299,0
f899139df5e1059396431415e770c6dd,2020-09-03,0,2210.429961473051,0
f899139df5e1059396431415e770c6dd,2020-09-04,0,2210.4178241807035,0
f899139df5e1059396431415e770c6dd,2020-09-05,0,2210.4054999225145,0
f899139df5e1059396431415e770c6dd,2020-09-06,0,2210.3929867408892,0
f899139df5e1059396431415e770c6dd,2020-09-07,0,2210.3802826673686,0
f899139df5e1059396431415e770c6dd,2020-09-08,0,2210.367385722631,0
f899139df5e1059396431415e770c6dd,2020-09-09,0,2210.35429391648,0
f899139df5e1059396431415e770c6dd,2020-09-10,0,2210.34100524785,0
f899139df5e1059396431415e770c6dd,2020-09-11,0,2210.3275177047894,0
f899139df5e1059396431415e770c6dd,2020-09-12,0,2210.3138292644676,0
f899139df5e1059396431415e770c6dd,2020-09-13,0,2210.2999378931627,0
f899139df5e1059396431415e770c6dd,2020-09-14,0,2210.285841546261,0
f899139df5e1059396431415e770c6dd,2020-09-15,0,2210.271538168253,0
f899139df5e1059396431415e770c6dd,2020-09-16,0,2210.2570256927256,0
f899139df5e1059396431415e770c6dd,2020-09-17,0,2210.242302042365,0
f899139df5e1059396431415e770c6dd,2020-09-18,0,2210.2273651289456,0
f899139df5e1059396431415e770c6dd,2020-09-19,0,2210.212212853332,0
f899139df5e1059396431415e770c6dd,2020-09-20,0,2210.196843105471,0
f899139df5e1059396431415e770c6dd,2020-09-21,0,2210.181253764392,0
f899139df5e1059396431415e770c6dd,2020-09-22,0,2210.1654426981995,0
f899139df5e1059396431415e770c6dd,2020-09-23,0,2210.149407764074,0
f899139df5e1059396431415e770c6dd,2020-09-24,0,2210.133146808266,0
f899139df5e1059396431415e770c6dd,2020-09-25,0,2210.116657666094,0
f899139df5e1059396431415e770c6dd,2020-09-26,0,2210.0999381619413,0
f899139df5e1059396431415e770c6dd,2020-09-27,0,2210.0829861092534,0
f899139df5e1059396431415e770c6dd,2020-09-28,0,2210.0657993105337,0
f899139df5e1059396431415e770c6dd,2020-09-29,0,2210.048375557344,0
f899139df5e1059396431415e770c6dd,2020-09-30,0,2210.030712630299,0
f899139df5e1059396431415e770c6dd,2020-10-01,0,2210.012808299065,0
f899139df5e1059396431415e770c6dd,2020-10-02,0,2209.9946603223584,0
f899139df5e1059396431415e770c6dd,2020-10-03,0,2209.9762664479413,0
f899139df5e1059396431415e770c6dd,2020-10-04,0,2209.9576244126224,0
f899139df5e1059396431415e770c6dd,2020-10-05,0,2209.9387319422526,0
f899139df5e1059396431415e770c6dd,2020-10-06,0,2209.919586751724,0
f899139df5e1059396431415e770c6dd,2020-10-07,0,2209.900186544968,0
f899139df5e1059396431415e770c6dd,2020-10-08,0,2209.8805290149544,0
f899139df5e1059396431415e770c6dd,2020-10-09,0,2209.860611843688,0
f899139df5e1059396431415e770c6dd,2020-10-10,0,2209.840432702209,0
f899139df5e1059396431415e770c6dd,2020-10-11,0,2209.819989250593,0
f899139df5e1059396431415e770c6dd,2020-10-12,0,2209.799279137945,0
f899139df5e1059396431415e770c6dd,2020-10-13,0,2209.7783000024033,0
f899139df5e1059396431415e770c6dd,2020-10-14,0,2209.7570494711363,0
f899139df5e1059396431415e770c6dd,2020-10-15,0,2209.735525160341,0
f899139df5e1059396431415e770c6dd,2020-10-16,0,2209.713724675244,0
f899139df5e1059396431415e770c6dd,2020-10-17,0,2209.6916456101007,0
f899139df5e1059396431415e770c6dd,2020-10-18,0,1151.555,0
f899139df5e1059396431415e770c6dd,2020-10-19,0,1151.554999999993,0
f899139df5e1059396431415e770c6dd,2020-10-20,0,1151.5549999998714,0
f899139df5e1059396431415e770c6dd,2020-10-21,0,1151.5549999993027,0
f899139df5e1059396431415e770c6dd,2020-10-22,0,1151.5549999976881,0
f899139df5e1059396431415e770c6dd,2020-10-23,0,1151.5549999941418,0
f899139df5e1059396431415e770c6dd,2020-10-24,0,1151.5549999874777,0
f899139df5e1059396431415e770c6dd,2020-10-25,0,1151.5549999761968,0
f899139df5e1059396431415e770c6dd,2020-10-26,0,1151.5549999584787,0
f899139df5e1059396431415e770c6dd,2020-10-27,0,1151.5549999321724,0
f899139df5e1059396431415e770c6dd,2020-10-28,0,1151.5549998947888,0
f899139df5e1059396431415e770c6dd,2020-10-29,0,1151.5549998434938,0
f899139df5e1059396431415e770c6dd,2020-10-30,0,1151.5549997751027,0
f899139df5e1059396431415e770c6dd,2020-10-31,0,1151.5549996860748,0
f899139df5e1059396431415e770c6dd,2020-11-01,0,1151.5549995725069,0
f899139df5e1059396431415e770c6dd,2020-11-02,0,1151.5549994301296,0
f899139df5e1059396431415e770c6dd,2020-11-03,0,1151.5549992543029,0
f899139df5e1059396431415e770c6dd,2020-11-04,0,1151.554999040011,0
f899139df5e1059396431415e770c6dd,2020-11-05,0,1151.554998781858,0
f899139df5e1059396431415e770c6dd,2020-11-06,0,1151.5549984740658,0
f899139df5e1059396431415e770c6dd,2020-11-07,0,1151.5549981104687,0
f899139df5e1059396431415e770c6dd,2020-11-08,0,1151.55499768451,0
f899139df5e1059396431415e770c6dd,2020-11-09,0,1151.5549971892406,0
f899139df5e1059396431415e770c6dd,2020-11-10,0,1151.554996617313,0
f899139df5e1059396431415e770c6dd,2020-11-11,0,1151.5549959609802,0
f899139df5e1059396431415e770c6dd,2020-11-12,0,1151.5549952120914,0
f899139df5e1059396431415e770c6dd,2020-11-13,0,1151.5549943620906,0
f899139df5e1059396431415e770c6dd,2020-11-14,0,1151.5549934020123,0
f899139df5e1059396431415e770c6dd,2020-11-15,0,1151.55499232248,0
f899139df5e1059396431415e770c6dd,2020-11-16,0,1151.5549911137032,0
f899139df5e1059396431415e770c6dd,2020-11-17,0,1151.5549897654744,0
f899139df5e1059396431415e770c6dd,2020-11-18,0,1151.5549882671671,0
f899139df5e1059396431415e770c6dd,2020-11-19,0,1151.554986607734,0
f899139df5e1059396431415e770c6dd,2020-11-20,0,1151.5549847757034,0
f899139df5e1059396431415e770c6dd,2020-11-21,0,1151.5549827591778,0
f899139df5e1059396431415e770c6dd,2020-11-22,0,1151.5549805458318,0
f899139df5e1059396431415e770c6dd,2020-11-23,0,1151.5549781229092,0
f899139df5e1059396431415e770c6dd,2020-11-24,0,1151.5549754772221,0
f899139df5e1059396431415e770c6dd,2020-11-25,0,1151.5549725951475,0
f899139df5e1059396431415e770c6dd,2020-11-26,0,1151.5549694626268,0
f899139df5e1059396431415e770c6dd,2020-11-27,0,1151.5549660651623,0
f899139df5e1059396431415e770c6dd,2020-11-28,0,1151.5549623878164,0
f899139df5e1059396431415e770c6dd,2020-11-29,0,1151.5549584152095,0
f899139df5e1059396431415e770c6dd,2020-11-30,0,1151.5549541315174,0
f899139df5e1059396431415e770c6dd,2020-12-01,0,1151.5549495204714,0
f899139df5e1059396431415e770c6dd,2020-12-02,0,1151.554944565354,0
f899139df5e1059396431415e770c6dd,2020-12-03,0,1151.5549392489995,0
f899139df5e1059396431415e770c6dd,2020-12-04,0,1151.5549335537908,0
f899139df5e1059396431415e770c6dd,2020-12-05,0,1151.5549274616587,0
f899139df5e1059396431415e770c6dd,2020-12-06,0,1151.5549209540793,0
f899139df5e1059396431415e770c6dd,2020-12-07,0,1151.5549140120731,0
f899139df5e1059396431415e770c6dd,2020-12-08,0,1151.5549066162039,0
f899139df5e1059396431415e770c6dd,2020-12-09,0,1151.5548987465759,0
